edition,country_noc,male_athletes,Mixed,Open,female_athletes,total_athletes
1924 Winter Olympics,AUS,0,0,1,0,1
1924 Winter Olympics,AUT,1,1,0,1,3
1924 Winter Olympics,BEL,1,0,0,0,1
1924 Winter Olympics,CAN,1,0,0,0,1
1924 Winter Olympics,FIN,4,1,0,0,5
1924 Winter Olympics,FRA,2,1,0,0,3
1924 Winter Olympics,GBR,3,0,1,1,5
1924 Winter Olympics,IND,0,0,1,0,1
1924 Winter Olympics,NEP,0,0,1,0,1
1924 Winter Olympics,NOR,8,0,0,0,8
1924 Winter Olympics,SUI,3,0,0,0,3
1924 Winter Olympics,SWE,2,0,0,0,2
1924 Winter Olympics,USA,3,0,0,1,4
1928 Summer Olympics,ARG,7,0,0,0,7
1928 Summer Olympics,AUS,3,0,0,0,3
1928 Summer Olympics,AUT,3,0,1,0,4
1928 Summer Olympics,BEL,3,0,0,0,3
1928 Summer Olympics,CAN,10,0,0,3,13
1928 Summer Olympics,CHI,1,0,0,0,1
1928 Summer Olympics,DEN,4,0,4,0,8
1928 Summer Olympics,EGY,3,0,0,0,3
1928 Summer Olympics,ESP,1,0,0,0,1
1928 Summer Olympics,EST,4,0,1,0,5
1928 Summer Olympics,FIN,21,0,1,0,22
1928 Summer Olympics,FRA,19,0,4,0,23
1928 Summer Olympics,GBR,13,0,2,4,19
1928 Summer Olympics,GER,23,0,8,6,37
1928 Summer Olympics,HAI,1,0,0,0,1
1928 Summer Olympics,HUN,9,0,1,0,10
1928 Summer Olympics,IND,1,0,0,0,1
1928 Summer Olympics,IRL,1,0,0,0,1
1928 Summer Olympics,ITA,18,0,1,1,20
1928 Summer Olympics,JPN,4,0,0,1,5
1928 Summer Olympics,LUX,0,0,1,0,1
1928 Summer Olympics,NED,13,0,5,4,22
1928 Summer Olympics,NOR,2,0,2,0,4
1928 Summer Olympics,NZL,1,0,0,0,1
1928 Summer Olympics,PHI,1,0,0,0,1
1928 Summer Olympics,POL,4,0,2,1,7
1928 Summer Olympics,POR,1,0,0,0,1
1928 Summer Olympics,RSA,2,0,0,1,3
1928 Summer Olympics,SUI,9,0,2,0,11
1928 Summer Olympics,SWE,18,0,2,3,23
1928 Summer Olympics,TCH,7,0,0,0,7
1928 Summer Olympics,URU,1,0,0,0,1
1928 Summer Olympics,USA,40,0,0,11,51
1928 Summer Olympics,YUG,4,0,0,0,4
1928 Winter Olympics,AUT,1,2,0,1,4
1928 Winter Olympics,BEL,1,0,0,0,1
1928 Winter Olympics,CAN,1,0,0,0,1
1928 Winter Olympics,FIN,3,0,0,0,3
1928 Winter Olympics,FRA,0,1,0,0,1
1928 Winter Olympics,GBR,1,0,0,0,1
1928 Winter Olympics,GER,1,0,0,0,1
1928 Winter Olympics,NOR,10,0,0,1,11
1928 Winter Olympics,SUI,1,0,0,0,1
1928 Winter Olympics,SWE,5,0,0,0,5
1928 Winter Olympics,TCH,1,0,0,0,1
1928 Winter Olympics,USA,4,0,0,1,5
1932 Summer Olympics,ARG,4,0,0,0,4
1932 Summer Olympics,AUS,3,0,0,2,5
1932 Summer Olympics,AUT,3,0,0,1,4
1932 Summer Olympics,BEL,0,0,1,0,1
1932 Summer Olympics,CAN,7,0,3,3,13
1932 Summer Olympics,DEN,5,0,2,1,8
1932 Summer Olympics,ESP,0,0,1,0,1
1932 Summer Olympics,FIN,21,0,0,0,21
1932 Summer Olympics,FRA,18,0,2,0,20
1932 Summer Olympics,GBR,11,0,2,4,17
1932 Summer Olympics,GER,18,0,4,2,24
1932 Summer Olympics,HUN,11,0,1,1,13
1932 Summer Olympics,IND,1,0,0,0,1
1932 Summer Olympics,IRL,2,0,0,0,2
1932 Summer Olympics,ITA,32,0,0,0,32
1932 Summer Olympics,JPN,16,0,0,1,17
1932 Summer Olympics,LAT,1,0,0,0,1
1932 Summer Olympics,MEX,2,0,0,0,2
1932 Summer Olympics,NED,3,0,2,2,7
1932 Summer Olympics,NZL,1,0,0,0,1
1932 Summer Olympics,PHI,3,0,0,0,3
1932 Summer Olympics,POL,4,0,2,2,8
1932 Summer Olympics,RSA,3,0,0,2,5
1932 Summer Olympics,SUI,1,0,0,0,1
1932 Summer Olympics,SWE,18,0,3,0,21
1932 Summer Olympics,TCH,4,0,2,0,6
1932 Summer Olympics,URU,1,0,0,0,1
1932 Summer Olympics,USA,72,0,10,17,99
1932 Winter Olympics,AUT,1,0,0,1,2
1932 Winter Olympics,CAN,5,0,0,0,5
1932 Winter Olympics,FIN,2,0,0,0,2
1932 Winter Olympics,FRA,0,1,0,0,1
1932 Winter Olympics,GER,2,0,0,0,2
1932 Winter Olympics,HUN,0,1,0,0,1
1932 Winter Olympics,NOR,9,0,0,1,10
1932 Winter Olympics,SUI,1,0,0,0,1
1932 Winter Olympics,SWE,3,0,0,0,3
1932 Winter Olympics,USA,8,1,0,1,10
1936 Summer Olympics,ARG,6,0,0,1,7
1936 Summer Olympics,AUS,1,0,0,0,1
1936 Summer Olympics,AUT,10,0,4,1,15
1936 Summer Olympics,BEL,2,0,1,0,3
1936 Summer Olympics,CAN,7,0,0,2,9
1936 Summer Olympics,DEN,3,0,0,2,5
1936 Summer Olympics,EGY,5,0,0,0,5
1936 Summer Olympics,EST,5,0,0,0,5
1936 Summer Olympics,FIN,17,0,1,0,18
1936 Summer Olympics,FRA,18,0,0,0,18
1936 Summer Olympics,GBR,10,0,2,2,14
1936 Summer Olympics,GER,63,0,15,13,91
1936 Summer Olympics,HUN,12,0,0,3,15
1936 Summer Olympics,IND,1,0,0,0,1
1936 Summer Olympics,ITA,18,0,6,1,25
1936 Summer Olympics,JPN,14,0,2,1,17
1936 Summer Olympics,LAT,2,0,0,0,2
1936 Summer Olympics,MEX,3,0,0,0,3
1936 Summer Olympics,NED,8,0,2,3,13
1936 Summer Olympics,NOR,4,0,2,0,6
