athlete,athlete_id,country_noc,sexo,sport,medal,edition
Jennison Heaton,86530,USA,Men,Skeleton,Gold,1928 Winter Olympics
Nino Bibbia,84107,ITA,Men,Skeleton,Gold,1948 Winter Olympics
"Jim Shea, Jr.",101695,USA,Men,Skeleton,Gold,2002 Winter Olympics
Tristan Gale,101682,USA,Women,Skeleton,Gold,2002 Winter Olympics
Duff Gibson,101704,CAN,Men,Skeleton,Gold,2006 Winter Olympics
Maya Pedersen,101686,SUI,Women,Skeleton,Gold,2006 Winter Olympics
Thomas Köhler,88773,GER,Men,Luge,Gold,1964 Winter Olympics
Josef Feistmantl,85662,AUT,Open,Luge,Gold,1964 Winter Olympics
Ortrun Enderlein,81022,GER,Women,Luge,Gold,1964 Winter Olympics
Manfred Schmid,97276,AUT,Men,Luge,Gold,1968 Winter Olympics
Klaus-Michael Bonsack,84251,GDR,Open,Luge,Gold,1968 Winter Olympics
Erika Lechner,80566,ITA,Women,Luge,Gold,1968 Winter Olympics
Wolfgang Scheidel,97227,GDR,Men,Luge,Gold,1972 Winter Olympics
Horst Hörnlein,87300,GDR,Open,Luge,Gold,1972 Winter Olympics
Paul Hildgartner,86640,ITA,Open,Luge,Gold,1972 Winter Olympics
Anna-Maria Müller,81894,GDR,Women,Luge,Gold,1972 Winter Olympics
Dettlef Günther,86336,GDR,Men,Luge,Gold,1976 Winter Olympics
Hans Rinn,96868,GDR,Open,Luge,Gold,1976 Winter Olympics
Margit Schumann,82313,GDR,Women,Luge,Gold,1976 Winter Olympics
Bernhard Glass,86094,GDR,Men,Luge,Gold,1980 Winter Olympics
Norbert Hahn,86377,GDR,Open,Luge,Gold,1980 Winter Olympics
Vera Zozuļa,83126,RUS,Women,Luge,Gold,1980 Winter Olympics
Paul Hildgartner,86640,ITA,Men,Luge,Gold,1984 Winter Olympics
Hans Stanggassinger,97764,FRG,Open,Luge,Gold,1984 Winter Olympics
Steffi Martin,81767,GDR,Women,Luge,Gold,1984 Winter Olympics
Jens Müller,95671,GDR,Men,Luge,Gold,1988 Winter Olympics
Jochen Pietzsch,96437,GDR,Open,Luge,Gold,1988 Winter Olympics
Steffi Walter,81767,GDR,Women,Luge,Gold,1988 Winter Olympics
Georg Hackl,86358,GER,Men,Luge,Gold,1992 Winter Olympics
Stefan Krauße,88609,GER,Open,Luge,Gold,1992 Winter Olympics
Doris Neuner,81930,AUT,Women,Luge,Gold,1992 Winter Olympics
Georg Hackl,86358,GER,Men,Luge,Gold,1994 Winter Olympics
Wilfried Huber,87212,ITA,Open,Luge,Gold,1994 Winter Olympics
Gerda Weissensteiner,83024,ITA,Women,Luge,Gold,1994 Winter Olympics
Georg Hackl,86358,GER,Men,Luge,Gold,1998 Winter Olympics
Stefan Krauße,88609,GER,Open,Luge,Gold,1998 Winter Olympics
Silke Kraushaar,100507,GER,Women,Luge,Gold,1998 Winter Olympics
Armin Zöggeler,99296,ITA,Men,Luge,Gold,2002 Winter Olympics
Patric Leitner,101507,GER,Open,Luge,Gold,2002 Winter Olympics
Sylke Otto,82005,GER,Women,Luge,Gold,2002 Winter Olympics
Armin Zöggeler,99296,ITA,Men,Luge,Gold,2006 Winter Olympics
Wolfgang Linger,101513,AUT,Open,Luge,Gold,2006 Winter Olympics
Sylke Otto,82005,GER,Women,Luge,Gold,2006 Winter Olympics
Heinrich Schläppi,97269,SUI,Men,Bobsleigh,Gold,1924 Winter Olympics
Geoffrey Mason,95211,USA,Men,Bobsleigh,Gold,1928 Winter Olympics
Curtis Stevens,97837,USA,Men,Bobsleigh,Gold,1932 Winter Olympics
J. J. O'Brien,95948,USA,Men,Bobsleigh,Gold,1932 Winter Olympics
Ivan Brown,84402,USA,Men,Bobsleigh,Gold,1936 Winter Olympics
Charles Bouvier,84297,SUI,Men,Bobsleigh,Gold,1936 Winter Olympics
Fritz Waller,98794,SUI,Men,Bobsleigh,Gold,1948 Winter Olympics
Bill D'Amico,84964,USA,Men,Bobsleigh,Gold,1948 Winter Olympics
Anderl Ostler,96104,GER,Men,Bobsleigh,Gold,1952 Winter Olympics
Fritz Kuhn,88691,GER,Men,Bobsleigh,Gold,1952 Winter Olympics
Giacomo Conti,84854,ITA,Men,Bobsleigh,Gold,1956 Winter Olympics
Heiri Angst,83648,SUI,Men,Bobsleigh,Gold,1956 Winter Olympics
Robin Dixon,85226,GBR,Men,Bobsleigh,Gold,1964 Winter Olympics
Peter Kirby,87975,CAN,Men,Bobsleigh,Gold,1964 Winter Olympics
Luciano De Paolis,85073,ITA,Men,Bobsleigh,Gold,1968 Winter Olympics
Roberto Zandonella,99167,ITA,Men,Bobsleigh,Gold,1968 Winter Olympics
Wolfgang Zimmerer,99238,FRG,Men,Bobsleigh,Gold,1972 Winter Olympics
Edy Hubacher,75825,SUI,Men,Bobsleigh,Gold,1972 Winter Olympics
Meinhard Nehmer,95777,GDR,Men,Bobsleigh,Gold,1976 Winter Olympics
Jochen Babock,83771,GDR,Men,Bobsleigh,Gold,1976 Winter Olympics
Erich Schärer,97370,SUI,Men,Bobsleigh,Gold,1980 Winter Olympics
Bogdan Musiol,95658,GDR,Men,Bobsleigh,Gold,1980 Winter Olympics
Wolfgang Hoppe,87147,GDR,Men,Bobsleigh,Gold,1984 Winter Olympics
Roland Wetzig,98918,GDR,Men,Bobsleigh,Gold,1984 Winter Olympics
Vladimir Kozlov,88592,RUS,Men,Bobsleigh,Gold,1988 Winter Olympics
Werner Stocker,97863,SUI,Men,Bobsleigh,Gold,1988 Winter Olympics
Gustav Weder,98854,SUI,Men,Bobsleigh,Gold,1992 Winter Olympics
Ingo Appelt,83670,AUT,Men,Bobsleigh,Gold,1992 Winter Olympics
Donat Acklin,83158,SUI,Men,Bobsleigh,Gold,1994 Winter Olympics
Alexander Szelig,98068,GER,Men,Bobsleigh,Gold,1994 Winter Olympics
Günther Huber,87207,ITA,Men,Bobsleigh,Gold,1998 Winter Olympics
Dave MacEachern,92016,CAN,Men,Bobsleigh,Gold,1998 Winter Olympics
Markus Zimmermann,99243,GER,Men,Bobsleigh,Gold,1998 Winter Olympics
Christoph Langen,89398,GER,Men,Bobsleigh,Gold,2002 Winter Olympics
Enrico Kühn,101870,GER,Men,Bobsleigh,Gold,2002 Winter Olympics
Vonetta Flowers,101654,USA,Women,Bobsleigh,Gold,2002 Winter Olympics
Kevin Kuske,101871,GER,Men,Bobsleigh,Gold,2006 Winter Olympics
Martin Putze,110998,GER,Men,Bobsleigh,Gold,2006 Winter Olympics
Anja Schneiderheinze,110776,GER,Women,Bobsleigh,Gold,2006 Winter Olympics
Kim Gi-Hun,87949,KOR,Men,Short Track Speed Skating,Gold,1992 Winter Olympics
Mo Ji-Su,95507,KOR,Men,Short Track Speed Skating,Gold,1992 Winter Olympics
Cathy Turner,82899,USA,Women,Short Track Speed Skating,Gold,1992 Winter Olympics
Angela Cutrone,80896,CAN,Women,Short Track Speed Skating,Gold,1992 Winter Olympics
Chae Ji-Hun,84684,KOR,Men,Short Track Speed Skating,Gold,1994 Winter Olympics
Kim Gi-Hun,87949,KOR,Men,Short Track Speed Skating,Gold,1994 Winter Olympics
Diego Cattani,100263,ITA,Men,Short Track Speed Skating,Gold,1994 Winter Olympics
Cathy Turner,82899,USA,Women,Short Track Speed Skating,Gold,1994 Winter Olympics
Jeon I-Gyeong,80843,KOR,Women,Short Track Speed Skating,Gold,1994 Winter Olympics
Kim Yun-Mi,81500,KOR,Women,Short Track Speed Skating,Gold,1994 Winter Olympics
Takafumi Nishitani,100238,JPN,Men,Short Track Speed Skating,Gold,1998 Winter Olympics
Kim Dong-Seong,100242,KOR,Men,Short Track Speed Skating,Gold,1998 Winter Olympics
François Drolet,100247,CAN,Men,Short Track Speed Skating,Gold,1998 Winter Olympics
Annie Perreault,82067,CAN,Women,Short Track Speed Skating,Gold,1998 Winter Olympics
Jeon I-Gyeong,80843,KOR,Women,Short Track Speed Skating,Gold,1998 Winter Olympics
Jeon I-Gyeong,80843,KOR,Women,Short Track Speed Skating,Gold,1998 Winter Olympics
Marc Gagnon,85904,CAN,Men,Short Track Speed Skating,Gold,2002 Winter Olympics
Steven Bradbury,84320,AUS,Men,Short Track Speed Skating,Gold,2002 Winter Olympics
Apolo Anton Ohno,101555,USA,Men,Short Track Speed Skating,Gold,2002 Winter Olympics
Éric Bédard,100243,CAN,Men,Short Track Speed Skating,Gold,2002 Winter Olympics
Yang Yang (A),100218,CHN,Women,Short Track Speed Skating,Gold,2002 Winter Olympics
Yang Yang (A),100218,CHN,Women,Short Track Speed Skating,Gold,2002 Winter Olympics
Go Gi-Hyeon,101409,KOR,Women,Short Track Speed Skating,Gold,2002 Winter Olympics
Ju Min-Jin,101549,KOR,Women,Short Track Speed Skating,Gold,2002 Winter Olympics
Apolo Anton Ohno,101555,USA,Men,Short Track Speed Skating,Gold,2006 Winter Olympics
Hyeon-Su An,101557,KOR,Men,Short Track Speed Skating,Gold,2006 Winter Olympics
Hyeon-Su An,101557,KOR,Men,Short Track Speed Skating,Gold,2006 Winter Olympics
Hyeon-Su An,101557,KOR,Men,Short Track Speed Skating,Gold,2006 Winter Olympics
Wang Meng,109921,CHN,Women,Short Track Speed Skating,Gold,2006 Winter Olympics
Jin Seon-Yu,109934,KOR,Women,Short Track Speed Skating,Gold,2006 Winter Olympics
Jin Seon-Yu,109934,KOR,Women,Short Track Speed Skating,Gold,2006 Winter Olympics
Jeon Da-Hye,110983,KOR,Women,Short Track Speed Skating,Gold,2006 Winter Olympics
Charley Jewtraw,87537,USA,Men,Speed Skating,Gold,1924 Winter Olympics
Clas Thunberg,98260,FIN,Men,Speed Skating,Gold,1924 Winter Olympics
Clas Thunberg,98260,FIN,Men,Speed Skating,Gold,1924 Winter Olympics
Julius Skutnabb,97613,FIN,Men,Speed Skating,Gold,1924 Winter Olympics
Clas Thunberg,98260,FIN,Men,Speed Skating,Gold,1924 Winter Olympics
Clas Thunberg,98260,FIN,Men,Speed Skating,Gold,1928 Winter Olympics
Bernt Evensen,85582,NOR,Men,Speed Skating,Gold,1928 Winter Olympics
Clas Thunberg,98260,FIN,Men,Speed Skating,Gold,1928 Winter Olympics
Ivar Ballangrud,83820,NOR,Men,Speed Skating,Gold,1928 Winter Olympics
Jack Shea,97475,USA,Men,Speed Skating,Gold,1932 Winter Olympics
Jack Shea,97475,USA,Men,Speed Skating,Gold,1932 Winter Olympics
Irving Jaffee,87432,USA,Men,Speed Skating,Gold,1932 Winter Olympics
Irving Jaffee,87432,USA,Men,Speed Skating,Gold,1932 Winter Olympics
Ivar Ballangrud,83820,NOR,Men,Speed Skating,Gold,1936 Winter Olympics
Charles Mathiesen,95227,NOR,Men,Speed Skating,Gold,1936 Winter Olympics
Ivar Ballangrud,83820,NOR,Men,Speed Skating,Gold,1936 Winter Olympics
Ivar Ballangrud,83820,NOR,Men,Speed Skating,Gold,1936 Winter Olympics
Finn Helgesen,86569,NOR,Men,Speed Skating,Gold,1948 Winter Olympics
Sverre Farstad,85630,NOR,Men,Speed Skating,Gold,1948 Winter Olympics
Reidar Liaklev,89613,NOR,Men,Speed Skating,Gold,1948 Winter Olympics
Åke Seyffarth,97456,SWE,Men,Speed Skating,Gold,1948 Winter Olympics
Ken Henry,86590,USA,Men,Speed Skating,Gold,1952 Winter Olympics
Hjalmar Andersen,83598,NOR,Men,Speed Skating,Gold,1952 Winter Olympics
Hjalmar Andersen,83598,NOR,Men,Speed Skating,Gold,1952 Winter Olympics
Hjalmar Andersen,83598,NOR,Men,Speed Skating,Gold,1952 Winter Olympics
Yevgeny Grishin,86236,RUS,Men,Speed Skating,Gold,1956 Winter Olympics
Yury Mikhaylov,95436,RUS,Men,Speed Skating,Gold,1956 Winter Olympics
Boris Shilkov,97493,RUS,Men,Speed Skating,Gold,1956 Winter Olympics
Sigvard Ericsson,85537,SWE,Men,Speed Skating,Gold,1956 Winter Olympics
Yevgeny Grishin,86236,RUS,Men,Speed Skating,Gold,1960 Winter Olympics
Yevgeny Grishin,86236,RUS,Men,Speed Skating,Gold,1960 Winter Olympics
Roald Aas,99337,NOR,Men,Speed Skating,Gold,1960 Winter Olympics
Viktor Kosichkin,88540,RUS,Men,Speed Skating,Gold,1960 Winter Olympics
Knut Johannesen,87553,NOR,Men,Speed Skating,Gold,1960 Winter Olympics
Helga Haase,81348,GER,Women,Speed Skating,Gold,1960 Winter Olympics
Klara Guseva,81214,RUS,Women,Speed Skating,Gold,1960 Winter Olympics
Lidiya Skoblikova,82395,RUS,Women,Speed Skating,Gold,1960 Winter Olympics
Lidiya Skoblikova,82395,RUS,Women,Speed Skating,Gold,1960 Winter Olympics
Terry McDermott,95299,USA,Men,Speed Skating,Gold,1964 Winter Olympics
Ants Antson,83658,RUS,Men,Speed Skating,Gold,1964 Winter Olympics
Knut Johannesen,87553,NOR,Men,Speed Skating,Gold,1964 Winter Olympics
Jonny Nilsson,95858,SWE,Men,Speed Skating,Gold,1964 Winter Olympics
Lidiya Skoblikova,82395,RUS,Women,Speed Skating,Gold,1964 Winter Olympics
Lidiya Skoblikova,82395,RUS,Women,Speed Skating,Gold,1964 Winter Olympics
Lidiya Skoblikova,82395,RUS,Women,Speed Skating,Gold,1964 Winter Olympics
Lidiya Skoblikova,82395,RUS,Women,Speed Skating,Gold,1964 Winter Olympics
Erhard Keller,87862,FRG,Men,Speed Skating,Gold,1968 Winter Olympics
Kees Verkerk,98618,NED,Men,Speed Skating,Gold,1968 Winter Olympics
Fred Anton Maier,92057,NOR,Men,Speed Skating,Gold,1968 Winter Olympics
Johnny Höglin,87290,SWE,Men,Speed Skating,Gold,1968 Winter Olympics
Lyudmila Titova,82872,RUS,Women,Speed Skating,Gold,1968 Winter Olympics
Carry Geijssen,81129,NED,Women,Speed Skating,Gold,1968 Winter Olympics
Kaija Mustonen,81890,FIN,Women,Speed Skating,Gold,1968 Winter Olympics
Ans Schut,82315,NED,Women,Speed Skating,Gold,1968 Winter Olympics
Erhard Keller,87862,FRG,Men,Speed Skating,Gold,1972 Winter Olympics
Ard Schenk,97231,NED,Men,Speed Skating,Gold,1972 Winter Olympics
Ard Schenk,97231,NED,Men,Speed Skating,Gold,1972 Winter Olympics
Ard Schenk,97231,NED,Men,Speed Skating,Gold,1972 Winter Olympics
Anne Henning,81283,USA,Women,Speed Skating,Gold,1972 Winter Olympics
Monika Pflug,82084,FRG,Women,Speed Skating,Gold,1972 Winter Olympics
Dianne Holum,81312,USA,Women,Speed Skating,Gold,1972 Winter Olympics
Stien Baas-Kaiser,80777,NED,Women,Speed Skating,Gold,1972 Winter Olympics
Yevgeny Kulikov,88699,RUS,Men,Speed Skating,Gold,1976 Winter Olympics
Peter Mueller,95623,USA,Men,Speed Skating,Gold,1976 Winter Olympics
Jan Egil Storholt,97882,NOR,Men,Speed Skating,Gold,1976 Winter Olympics
Sten Stensen,97827,NOR,Men,Speed Skating,Gold,1976 Winter Olympics
Piet Kleine,88020,NED,Men,Speed Skating,Gold,1976 Winter Olympics
Sheila Young,83093,USA,Women,Speed Skating,Gold,1976 Winter Olympics
Tatyana Averina,80567,RUS,Women,Speed Skating,Gold,1976 Winter Olympics
Galina Stepanskaya,82458,RUS,Women,Speed Skating,Gold,1976 Winter Olympics
Tatyana Averina,80567,RUS,Women,Speed Skating,Gold,1976 Winter Olympics
Eric Heiden,86551,USA,Men,Speed Skating,Gold,1980 Winter Olympics
Eric Heiden,86551,USA,Men,Speed Skating,Gold,1980 Winter Olympics
Eric Heiden,86551,USA,Men,Speed Skating,Gold,1980 Winter Olympics
Eric Heiden,86551,USA,Men,Speed Skating,Gold,1980 Winter Olympics
Eric Heiden,86551,USA,Men,Speed Skating,Gold,1980 Winter Olympics
Karin Enke,81028,GDR,Women,Speed Skating,Gold,1980 Winter Olympics
Nataliya Petrusyova,82078,RUS,Women,Speed Skating,Gold,1980 Winter Olympics
Annie Borckink,80701,NED,Women,Speed Skating,Gold,1980 Winter Olympics
Bjørg Eva Jensen,81395,NOR,Women,Speed Skating,Gold,1980 Winter Olympics
Sergey Fokichev,85770,RUS,Men,Speed Skating,Gold,1984 Winter Olympics
Gaétan Boucher,84286,CAN,Men,Speed Skating,Gold,1984 Winter Olympics
Gaétan Boucher,84286,CAN,Men,Speed Skating,Gold,1984 Winter Olympics
Tomas Gustafson,86323,SWE,Men,Speed Skating,Gold,1984 Winter Olympics
Igor Malkov,92090,RUS,Men,Speed Skating,Gold,1984 Winter Olympics
Christa Rothenburger,82229,GDR,Women,Speed Skating,Gold,1984 Winter Olympics
Karin Enke,81028,GDR,Women,Speed Skating,Gold,1984 Winter Olympics
Karin Enke,81028,GDR,Women,Speed Skating,Gold,1984 Winter Olympics
Andrea Schöne,81847,GDR,Women,Speed Skating,Gold,1984 Winter Olympics
Uwe-Jens Mey,95409,GDR,Men,Speed Skating,Gold,1988 Winter Olympics
Nikolay Gulyayev,86305,RUS,Men,Speed Skating,Gold,1988 Winter Olympics
André Hoffmann,86700,GDR,Men,Speed Skating,Gold,1988 Winter Olympics
Tomas Gustafson,86323,SWE,Men,Speed Skating,Gold,1988 Winter Olympics
Tomas Gustafson,86323,SWE,Men,Speed Skating,Gold,1988 Winter Olympics
Bonnie Blair,80673,USA,Women,Speed Skating,Gold,1988 Winter Olympics
Christa Rothenburger,82229,GDR,Women,Speed Skating,Gold,1988 Winter Olympics
Yvonne van Gennip,82921,NED,Women,Speed Skating,Gold,1988 Winter Olympics
Yvonne van Gennip,82921,NED,Women,Speed Skating,Gold,1988 Winter Olympics
Yvonne van Gennip,82921,NED,Women,Speed Skating,Gold,1988 Winter Olympics
Uwe-Jens Mey,95409,GER,Men,Speed Skating,Gold,1992 Winter Olympics
Olaf Zinke,99251,GER,Men,Speed Skating,Gold,1992 Winter Olympics
Johann Olav Koss,88548,NOR,Men,Speed Skating,Gold,1992 Winter Olympics
Geir Karlstad,87796,NOR,Men,Speed Skating,Gold,1992 Winter Olympics
Bart Veldkamp,98602,NED,Men,Speed Skating,Gold,1992 Winter Olympics
Bonnie Blair,80673,USA,Women,Speed Skating,Gold,1992 Winter Olympics
Bonnie Blair,80673,USA,Women,Speed Skating,Gold,1992 Winter Olympics
Jacqueline Börner,80776,GER,Women,Speed Skating,Gold,1992 Winter Olympics
Gunda Niemann,81514,GER,Women,Speed Skating,Gold,1992 Winter Olympics
Gunda Niemann,81514,GER,Women,Speed Skating,Gold,1992 Winter Olympics
Aleksandr Golubev,86125,RUS,Men,Speed Skating,Gold,1994 Winter Olympics
Dan Jansen,87473,USA,Men,Speed Skating,Gold,1994 Winter Olympics
Johann Olav Koss,88548,NOR,Men,Speed Skating,Gold,1994 Winter Olympics
Johann Olav Koss,88548,NOR,Men,Speed Skating,Gold,1994 Winter Olympics
Johann Olav Koss,88548,NOR,Men,Speed Skating,Gold,1994 Winter Olympics
Bonnie Blair,80673,USA,Women,Speed Skating,Gold,1994 Winter Olympics
Bonnie Blair,80673,USA,Women,Speed Skating,Gold,1994 Winter Olympics
Emese Hunyady,81329,AUT,Women,Speed Skating,Gold,1994 Winter Olympics
Svetlana Bazhanova,80609,RUS,Women,Speed Skating,Gold,1994 Winter Olympics
Claudia Pechstein,82053,GER,Women,Speed Skating,Gold,1994 Winter Olympics
Hiroyasu Shimizu,97498,JPN,Men,Speed Skating,Gold,1998 Winter Olympics
Ids Postma,99359,NED,Men,Speed Skating,Gold,1998 Winter Olympics
Ådne Søndrål,98094,NOR,Men,Speed Skating,Gold,1998 Winter Olympics
Gianni Romme,99378,NED,Men,Speed Skating,Gold,1998 Winter Olympics
Gianni Romme,99378,NED,Men,Speed Skating,Gold,1998 Winter Olympics
Catriona Le May Doan,81655,CAN,Women,Speed Skating,Gold,1998 Winter Olympics
Marianne Timmer,99388,NED,Women,Speed Skating,Gold,1998 Winter Olympics
Marianne Timmer,99388,NED,Women,Speed Skating,Gold,1998 Winter Olympics
Gunda Niemann-Stirnemann,81514,GER,Women,Speed Skating,Gold,1998 Winter Olympics
Claudia Pechstein,82053,GER,Women,Speed Skating,Gold,1998 Winter Olympics
Casey FitzRandolph,99344,USA,Men,Speed Skating,Gold,2002 Winter Olympics
Gerard van Velde,98555,NED,Men,Speed Skating,Gold,2002 Winter Olympics
Derek Parra,100952,USA,Men,Speed Skating,Gold,2002 Winter Olympics
Jochem Uytdehaage,100951,NED,Men,Speed Skating,Gold,2002 Winter Olympics
Jochem Uytdehaage,100951,NED,Men,Speed Skating,Gold,2002 Winter Olympics
Catriona Le May Doan,81655,CAN,Women,Speed Skating,Gold,2002 Winter Olympics
Chris Witty,83054,USA,Women,Speed Skating,Gold,2002 Winter Olympics
Anni Friesinger,99411,GER,Women,Speed Skating,Gold,2002 Winter Olympics
Claudia Pechstein,82053,GER,Women,Speed Skating,Gold,2002 Winter Olympics
Claudia Pechstein,82053,GER,Women,Speed Skating,Gold,2002 Winter Olympics
Joey Cheek,101360,USA,Men,Speed Skating,Gold,2006 Winter Olympics
Shani Davis,109684,USA,Men,Speed Skating,Gold,2006 Winter Olympics
Enrico Fabris,100957,ITA,Men,Speed Skating,Gold,2006 Winter Olympics
Chad Hedrick,109682,USA,Men,Speed Skating,Gold,2006 Winter Olympics
Bob de Jong,99379,NED,Men,Speed Skating,Gold,2006 Winter Olympics
Stefano Donagrandi,100959,ITA,Men,Speed Skating,Gold,2006 Winter Olympics
Svetlana Zhurova,80719,RUS,Women,Speed Skating,Gold,2006 Winter Olympics
Marianne Timmer,99388,NED,Women,Speed Skating,Gold,2006 Winter Olympics
Cindy Klassen,100967,CAN,Women,Speed Skating,Gold,2006 Winter Olympics
Ireen Wüst,109767,NED,Women,Speed Skating,Gold,2006 Winter Olympics
Clara Hughes,13139,CAN,Women,Speed Skating,Gold,2006 Winter Olympics
Lucille Opitz,110373,GER,Women,Speed Skating,Gold,2006 Winter Olympics
Franz Pfnür,96409,GER,Men,Alpine Skiing,Gold,1936 Winter Olympics
Christl Cranz,80885,GER,Women,Alpine Skiing,Gold,1936 Winter Olympics
Henri Oreiller,96081,FRA,Men,Alpine Skiing,Gold,1948 Winter Olympics
Edy Reinalter,96776,SUI,Men,Alpine Skiing,Gold,1948 Winter Olympics
Henri Oreiller,96081,FRA,Men,Alpine Skiing,Gold,1948 Winter Olympics
Hedy Schlunegger,82293,SUI,Women,Alpine Skiing,Gold,1948 Winter Olympics
Gretchen Fraser,81086,USA,Women,Alpine Skiing,Gold,1948 Winter Olympics
Trude Beiser,80622,AUT,Women,Alpine Skiing,Gold,1948 Winter Olympics
Zeno Colò,84837,ITA,Men,Alpine Skiing,Gold,1952 Winter Olympics
Stein Eriksen,85544,NOR,Men,Alpine Skiing,Gold,1952 Winter Olympics
Othmar Schneider,97300,AUT,Men,Alpine Skiing,Gold,1952 Winter Olympics
Trude Jochum-Beiser,80622,AUT,Women,Alpine Skiing,Gold,1952 Winter Olympics
Andrea Mead-Lawrence,81799,USA,Women,Alpine Skiing,Gold,1952 Winter Olympics
Andrea Mead-Lawrence,81799,USA,Women,Alpine Skiing,Gold,1952 Winter Olympics
Toni Sailer,97080,AUT,Men,Alpine Skiing,Gold,1956 Winter Olympics
Toni Sailer,97080,AUT,Men,Alpine Skiing,Gold,1956 Winter Olympics
Toni Sailer,97080,AUT,Men,Alpine Skiing,Gold,1956 Winter Olympics
Madeleine Berthod,80647,SUI,Women,Alpine Skiing,Gold,1956 Winter Olympics
Ossi Reichert,82172,GER,Women,Alpine Skiing,Gold,1956 Winter Olympics
Renée Colliard,80868,SUI,Women,Alpine Skiing,Gold,1956 Winter Olympics
Jean Vuarnet,98736,FRA,Men,Alpine Skiing,Gold,1960 Winter Olympics
Roger Staub,97777,SUI,Men,Alpine Skiing,Gold,1960 Winter Olympics
Ernst Hinterseer,86655,AUT,Men,Alpine Skiing,Gold,1960 Winter Olympics
Heidi Biebl,80655,GER,Women,Alpine Skiing,Gold,1960 Winter Olympics
Yvonne Rüegg,82239,SUI,Women,Alpine Skiing,Gold,1960 Winter Olympics
Anne Heggtveit,81273,CAN,Women,Alpine Skiing,Gold,1960 Winter Olympics
Egon Zimmermann,99240,AUT,Men,Alpine Skiing,Gold,1964 Winter Olympics
François Bonlieu,84244,FRA,Men,Alpine Skiing,Gold,1964 Winter Olympics
Pepi Stiegler,97851,AUT,Men,Alpine Skiing,Gold,1964 Winter Olympics
Christl Haas,81346,AUT,Women,Alpine Skiing,Gold,1964 Winter Olympics
Marielle Goitschel,81161,FRA,Women,Alpine Skiing,Gold,1964 Winter Olympics
Christine Goitschel,81160,FRA,Women,Alpine Skiing,Gold,1964 Winter Olympics
Jean-Claude Killy,87932,FRA,Men,Alpine Skiing,Gold,1968 Winter Olympics
Jean-Claude Killy,87932,FRA,Men,Alpine Skiing,Gold,1968 Winter Olympics
Jean-Claude Killy,87932,FRA,Men,Alpine Skiing,Gold,1968 Winter Olympics
Olga Pall,82022,AUT,Women,Alpine Skiing,Gold,1968 Winter Olympics
Nancy Greene,81195,CAN,Women,Alpine Skiing,Gold,1968 Winter Olympics
Marielle Goitschel,81161,FRA,Women,Alpine Skiing,Gold,1968 Winter Olympics
Bernhard Russi,97014,SUI,Men,Alpine Skiing,Gold,1972 Winter Olympics
Gustavo Thoeni,98263,ITA,Men,Alpine Skiing,Gold,1972 Winter Olympics
Francisco Fernández Ochoa,85681,ESP,Men,Alpine Skiing,Gold,1972 Winter Olympics
Marie-Theres Nadig,81902,SUI,Women,Alpine Skiing,Gold,1972 Winter Olympics
Marie-Theres Nadig,81902,SUI,Women,Alpine Skiing,Gold,1972 Winter Olympics
Barbara Cochran,80863,USA,Women,Alpine Skiing,Gold,1972 Winter Olympics
Franz Klammer,88010,AUT,Men,Alpine Skiing,Gold,1976 Winter Olympics
Heini Hemmi,86579,SUI,Men,Alpine Skiing,Gold,1976 Winter Olympics
Piero Gros,86241,ITA,Men,Alpine Skiing,Gold,1976 Winter Olympics
Rosi Mittermaier,81850,FRG,Women,Alpine Skiing,Gold,1976 Winter Olympics
Kathy Kreiner,81567,CAN,Women,Alpine Skiing,Gold,1976 Winter Olympics
Rosi Mittermaier,81850,FRG,Women,Alpine Skiing,Gold,1976 Winter Olympics
Leonhard Stock,97861,AUT,Men,Alpine Skiing,Gold,1980 Winter Olympics
Ingemar Stenmark,97826,SWE,Men,Alpine Skiing,Gold,1980 Winter Olympics
Ingemar Stenmark,97826,SWE,Men,Alpine Skiing,Gold,1980 Winter Olympics
Annemarie Moser-Pröll,82134,AUT,Women,Alpine Skiing,Gold,1980 Winter Olympics
Hanni Wenzel,83027,LIE,Women,Alpine Skiing,Gold,1980 Winter Olympics
Hanni Wenzel,83027,LIE,Women,Alpine Skiing,Gold,1980 Winter Olympics
Bill Johnson,87613,USA,Men,Alpine Skiing,Gold,1984 Winter Olympics
Max Julen,87666,SUI,Men,Alpine Skiing,Gold,1984 Winter Olympics
Phil Mahre,92052,USA,Men,Alpine Skiing,Gold,1984 Winter Olympics
Michela Figini,81059,SUI,Women,Alpine Skiing,Gold,1984 Winter Olympics
Debbie Armstrong,80552,USA,Women,Alpine Skiing,Gold,1984 Winter Olympics
Paola Magoni,81742,ITA,Women,Alpine Skiing,Gold,1984 Winter Olympics
Pirmin Zurbriggen,99283,SUI,Men,Alpine Skiing,Gold,1988 Winter Olympics
Franck Piccard,96419,FRA,Men,Alpine Skiing,Gold,1988 Winter Olympics
Alberto Tomba,98310,ITA,Men,Alpine Skiing,Gold,1988 Winter Olympics
Alberto Tomba,98310,ITA,Men,Alpine Skiing,Gold,1988 Winter Olympics
Hubert Strolz,97903,AUT,Men,Alpine Skiing,Gold,1988 Winter Olympics
Marina Kiehl,81480,FRG,Women,Alpine Skiing,Gold,1988 Winter Olympics
Sigrid Wolf,83058,AUT,Women,Alpine Skiing,Gold,1988 Winter Olympics
